ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator
BF460406,62832.62017250061,0.0,0.0
BF460407,45851.734268426895,8937.020366191864,0.1949112832651527
BF460501,39918.10565185547,20.632107257843018,5.168608810694903E-4
BF460502,19732.467630386353,3309.498544692993,0.16771843272134104
BF460503,20819.460495471954,0.0,0.0
BF460504,33622.09196519852,0.0,0.0
BF460505,37441.62529659271,0.0,0.0
BF460506,39401.07584857941,0.0,0.0
BF460601,24093.66191291809,11165.473086357117,0.46341951367594403
BF460602,15792.057878017426,11315.77892780304,0.7165487243783868
BF460603,22922.965157032013,10413.814466953278,0.45429613471094343
BF460604,35425.16419553757,3963.2430419921875,0.1118764903986367
BF460605,22896.45298242569,17056.001011371613,0.744918919295624
BF460606,22405.283980369568,9640.08464050293,0.43025942670260764
BF460607,35208.29099416733,19516.389047145844,0.5543123081543199
BF460608,73029.51198196411,22168.14307451248,0.3035504753199951
BF470101,154859.3136422634,109473.88438177109,0.7069247680812014
BF470102,12628.677852869034,6810.765427112579,0.5393094595065059
BF470103,93400.24542474747,18029.80747318268,0.19303811666864715
BF470104,17206.119108438492,8125.676558971405,0.47225504529875567
BF470105,111495.97342824936,40216.02396440506,0.36069485496070536
BF470106,108942.05252361298,10226.275191307068,0.09386894183116792
BF470107,218083.96807813644,28156.088871479034,0.12910664236167557
BF470108,47838.383615493774,2517.9645137786865,0.05263481588377026
BF470109,102244.59020733833,0.0,0.0
BF470201,17589.712716817856,0.0,0.0
BF470202,10767.49637746811,8245.686942100525,0.7657942620120419
BF470203,12209.341163873672,1560.54141664505,0.12781536658690068
BF470204,37317.49951887131,5558.213469028473,0.14894388800668992
BF470205,52509.64834976196,0.0,0.0
BF470206,14723.697012424469,0.0,0.0
BF470207,22800.862544059753,1564.2556791305542,0.06860510983335959
BF470208,5630.522667169571,96.76121759414673,0.017185121757584184
BF480101,45030.93135929108,0.0,0.0
BF480102,36604.09191083908,0.0,0.0
BF480103,27593.668847084045,24445.37592458725,0.885905243701238
BF480104,67893.20658493042,19330.086098194122,0.2847131115248374
BF480105,104639.5148153305,17233.518340587616,0.16469417285622553
BF480106,26430.028366565704,902.8610806465149,0.034160427984581535
BF480107,97271.5701982975,45616.261813402176,0.46895780257694014
BF480108,27111.420615196228,6859.420746803284,0.25300853260926165
BF480109,19486.299703598022,10886.107162952423,0.5586544048145976
BF480110,157430.1591744423,53838.82123756409,0.3419854335401349
BF480111,106835.00070667267,49068.09866952896,0.4592886071508612
BF480112,11251.484647274017,5786.902797937393,0.5143234852424058
BF480113,17643.492666959763,11877.656457662582,0.6732032416634478
BF480202,14784.74542760849,0.0,0.0
BF480201,72530.58536434174,17953.87930727005,0.24753528759050564
BF480203,16578.4278755188,0.0,0.0
BF480204,52486.48297262192,18665.95919942856,0.35563364398344477
BF480205,61931.92233419418,16321.606257915497,0.2635410890338846
BF480206,60398.14724969864,14430.213979005814,0.23891815620350532
BF480207,57827.14918756485,20347.19537639618,0.35186232872035894
BF480208,37190.22279596329,6227.841351032257,0.16745910303361347
BF480301,61278.991496801376,9032.073333263397,0.147392656319007
BF480302,19076.145636081696,0.0,0.0
BF480303,46250.666570186615,0.0,0.0
BF480304,36253.0978178978,0.0,0.0
BF480305,40392.55439710617,2168.3675837516785,0.053682358447403024
BF480306,81382.30284833908,42122.3888425827,0.5175865927642814
BF480307,115829.64540243149,100399.36790513992,0.8667847299050123
BF480308,23946.762607097626,0.0,0.0
BF480309,23133.261236190796,0.0,0.0
BF490101,67222.27616262436,57043.487402915955,0.8485801234239102
BF490102,28367.050624847412,11481.42924451828,0.4047452587284985
BF490103,95508.86660575867,54203.28896045685,0.5675210154487236
BF490104,13010.182035446167,12737.933001279831,0.9790741564242073
BF490105,38291.4558801651,10610.951136112213,0.27711015139564504
BF490106,16293.877840995789,0.0,0.0
BF490107,28690.10027885437,14354.368335723877,0.5003247878608343
BF490108,41800.51751422882,0.0,0.0
BF490109,34699.85963463783,32428.726102113724,0.9345492011657294
BF490201,45859.703140735626,0.0,0.0
BF490202,101884.22678089142,22740.415467739105,0.22319858712422513
BF490203,52564.80099320412,21279.80361533165,0.40482990924065
BF490204,35138.90056800842,0.0,0.0
BF490205,22391.47990345955,6048.046216011047,0.27010480066914233
BF490206,106334.90594649315,24433.43291068077,0.22977810243209765
BF490207,47042.94370818138,0.0,0.0
BF490208,29598.015531539917,0.0,0.0
BF490301,118625.3405008316,77638.13639354706,0.6544818844419064
BF490302,106289.81765031815,20878.37727880478,0.19642876185461483
BF490303,29430.11530804634,20051.63797402382,0.6813305950093101
BF490304,157700.64858865738,83085.85716629028,0.5268580561327268
BF490305,57210.716901779175,3056.2617077827454,0.05342113983696121
BF490306,60631.39359951019,865.9306135177612,0.014281885375050271
BF490307,10926.481253147125,7869.202955245972,0.7201955298261667
BF490308,50595.58042836189,36255.94376707077,0.7165832165599016
BF490309,37122.97908782959,0.0,0.0
BF490310,127399.27290821075,56133.86748743057,0.44061371941953054
BF490311,36668.008447408676,0.0,0.0
BF500101,16636.20912718773,6271.790046453476,0.37699634565207535
BF500102,31735.576758384705,0.0,0.0
BF500103,39923.175810813904,0.0,0.0
BF500104,39240.17201375961,16991.14461708069,0.4330038260566932
BF500105,169747.98994922638,100187.42912626266,0.5902127569005672
BF500107,31269.42363882065,0.0,0.0
BF500106,37195.18250250816,5208.1619873046875,0.1400224877765686
BF500108,23479.963468551636,0.0,0.0
BF500109,33595.96712875366,0.0,0.0
BF500110,22402.415230751038,0.0,0.0
BF500111,57666.13753604889,0.0,0.0
